Datetime,open,close,high,low,volume,float,StockSymbol
10/10/2007,14.66835308,14.66835308,14.77057076,14.61724377,227190,92352576,FPT
11/10/2007,14.56613445,14.3616972,14.61724377,14.3616972,179330,92352576,FPT
12/10/2007,14.3616972,14.46391582,14.46391582,14.31058788,144790,92352576,FPT
15/10/2007,14.46391582,14.31058788,14.46391582,14.31058788,195120,92352576,FPT
16/10/2007,14.31058788,14.20836926,14.3616972,14.20836926,257970,92352576,FPT
17/10/2007,14.20836926,14.41280651,14.46391582,14.20836926,201640,92352576,FPT
18/10/2007,14.31058788,14.20836926,14.3616972,14.20836926,176410,92352576,FPT
19/10/2007,13.90171432,14.05504227,14.05504227,13.85060501,220860,92352576,FPT
22/10/2007,13.7994957,13.90171432,14.05504227,13.7994957,285680,92352576,FPT
23/10/2007,13.7994957,13.85060501,13.85060501,13.69727707,526810,92352576,FPT
24/10/2007,14.05504227,14.31058788,14.31058788,14.00393295,273700,92352576,FPT
25/10/2007,14.31058788,14.15725994,14.41280651,14.15725994,292200,92352576,FPT
26/10/2007,14.15725994,14.05504227,14.15725994,14.05504227,175290,92352576,FPT
29/10/2007,13.85060501,13.85060501,13.95282364,13.85060501,176680,92352576,FPT
30/10/2007,13.7994957,13.7994957,13.90171432,13.7994957,254640,92352576,FPT
31/10/2007,13.85060501,13.90171432,13.90171432,13.7994957,197030,92352576,FPT
01/11/2007,13.90171432,13.7994957,13.90171432,13.74838638,232680,92352576,FPT
02/11/2007,13.54394913,13.49283981,13.7994957,13.49283981,244060,92352576,FPT
05/11/2007,12.93063831,13.13507557,13.18618488,12.93063831,345680,92352576,FPT
06/11/2007,12.77731037,12.62398338,12.879529,12.62398338,361210,92352576,FPT
07/11/2007,12.41954613,12.47065544,12.62398338,12.41954613,355200,92352576,FPT
08/11/2007,12.52176476,12.62398338,12.77731037,12.52176476,129370,92352576,FPT
09/11/2007,12.72620106,12.82841969,12.82841969,12.6750927,334340,92352576,FPT
12/11/2007,12.879529,12.82841969,12.879529,12.57287407,258730,92352576,FPT
13/11/2007,12.77731037,12.26621819,12.77731037,12.26621819,207890,92352576,FPT
14/11/2007,12.52176476,12.82841969,12.82841969,12.52176476,264240,92352576,FPT
15/11/2007,12.77731037,12.57287407,12.77731037,12.57287407,147180,92352576,FPT
